,Track,Artist,Genre,Album Title,Album Type,Release Date,Thumbnail,Acousticness,Danceability,Energy,Instrumentalness,Popularity,Speechiness,Track ID,Release Year
1581,You Don't Have To Say You Love Me,Dusty Springfield,"adult standards, british invasion, soul",You Don't Have To Say You Love Me,album,1966-07-01,https://i.scdn.co/image/ab67616d000048515ca6b0da6bdc2dc65a7020d9,0.455,0.317,0.513,0.0,0.494949494949495,0.0339,0q8nQ0H4ad4KYcZdrTZPux,1966
1582,Skyline Pigeon,Elton John,"glam rock, mellow gold, piano rock, rock",Empty Sky,album,1969-06-06,https://i.scdn.co/image/ab67616d000048518ceec1f51b5d49f81f0888d6,0.705,0.357,0.371,0.0,0.47474747474747475,0.0272,5MimWt53Ukh0gcv7mC0Rnx,1969
1583,Anyone Who Had a Heart - 2003 Remaster,Cilla Black,"brill building pop, merseybeat, rock-and-roll",Beginnings,album,2003-01-01,https://i.scdn.co/image/ab67616d00004851b8adb62e42a607432f06048a,0.821,0.49,0.455,0.257,0.47474747474747475,0.0312,28Y2taEFmHofu2EsU04ILf,2003
1584,As Tears Go By - (Original Single Mono Version),The Rolling Stones,"album rock, british invasion, classic rock, rock",Singles 1965-1967,compilation,2004-07-12,https://i.scdn.co/image/ab67616d00004851196ddacc8968e22242285745,0.71,0.331,0.282,0.00262,0.46464646464646464,0.0292,5rUwnfuvEebahvFInZB8mC,2004
1585,"Oh, What A Night",The Dells,"chicago soul, classic soul, disco, funk, quiet storm, soul, southern soul","Oh, What A Night! / The Great Ballads",compilation,1998-01-01,https://i.scdn.co/image/ab67616d000048517b23075a61d2ffafa70accd4,0.103,0.5,0.543,0.0,0.4444444444444444,0.0341,2ht21Rlf8L6cPLBkYmhpcs,1998
1586,Losing You,Brenda Lee,"adult standards, easy listening, lounge, rockabilly","...""Let Me Sing""",album,1963-09-12,https://i.scdn.co/image/ab67616d00004851cded466441e8944ca9fbe43d,0.516,0.384,0.303,0.0,0.4444444444444444,0.027,78HTdAIfx2UBmFWZN4s7A6,1963
1587,Fame and Fortune - Remastered,Elvis Presley,"rock-and-roll, rockabilly","Elvis' Golden Records, Vol. 3",compilation,1963-08-11,https://i.scdn.co/image/ab67616d00004851a22455d1ff7031adeaa90a40,0.94,0.672,0.286,0.0973,0.4444444444444444,0.0283,3KIlJMknWs4rgVztAoWUbY,1963
1588,La-La Means I Love You,The Delfonics,"classic soul, funk, philly soul, quiet storm, soul",Love Songs,compilation,2005-01-11,https://i.scdn.co/image/ab67616d00004851dfbdf98869da083c15e52998,0.789,0.552,0.421,0.0,0.43434343434343436,0.0265,5jzqOYJmouDjfxlUw2u27f,2005
1590,Runaround Sue,Dion,"doo-wop, rock-and-roll, rockabilly",Runaround Sue,album,1961-01-01,https://i.scdn.co/image/ab67616d00004851860a3b044d1715635ad2bad7,0.451,0.364,0.607,0.0,0.696969696969697,0.125,1DndHckdH9m5rp6gYP086b,1961
1591,Dream Lover,Dion,"doo-wop, rock-and-roll, rockabilly",Runaround Sue,album,1961-01-01,https://i.scdn.co/image/ab67616d00004851860a3b044d1715635ad2bad7,0.473,0.358,0.525,0.0,0.5252525252525253,0.0356,5UvR3VWxfVVKMgGrD3XZVj,1961
